Age,Gender,Experience,Education,Interview Score,Test Score,Salary
30,m,13,PhD,7,7,6000
27,m,13,PhD,8,8,6000
30,m,12,PhD,7,9,6000
25,m,11,PhD,8,10,5986.98
26,m,11,PhD,8,8,5960.1
28,m,14,PhD,7,8,5952.7
25,m,12,PhD,7,8,5937.98
28,m,10,PhD,8,8,5934.75
30,m,13,PhD,9,9,5934.71
28,m,10,PhD,9,8,5919.75
27,m,14,PhD,8,8,5886.35
29,m,13,PhD,8,8,5881.73
31,m,14,Ma,7,8,5879.07
28,m,13,PhD,8,9,5862.79
29,m,11,PhD,9,8,5852.91
26,m,13,PhD,8,8,5844.03
27,m,14,PhD,7,8,5838.66
27,m,12,PhD,7,9,5814.39
32,m,9,PhD,8,9,5805.58
26,m,13,PhD,6,8,5803.69
27,m,12,PhD,9,7,5801.99
23,m,13,PhD,7,8,5795.08
27,m,12,PhD,8,10,5789.22
28,m,13,PhD,7,9,5785.33
30,m,13,PhD,7,9,5777.56
26,m,11,PhD,8,8,5765.07
26,m,13,PhD,8,9,5762.34
27,m,12,PhD,8,9,5755.52
26,m,11,PhD,7,8,5746.45
28,m,11,PhD,7,9,5746.29
27,m,11,PhD,7,8,5740.71
24,m,14,PhD,8,8,5732.89
26,m,14,PhD,8,9,5729.2
26,m,9,PhD,7,8,5728.85
28,m,12,PhD,8,8,5727.14
29,m,12,PhD,8,8,5722.58
27,m,11,PhD,8,8,5717.76
29,m,10,PhD,6,7,5716.21
29,m,13,PhD,8,9,5710.23
22,m,12,PhD,7,9,5707.46
28,m,13,PhD,7,9,5701.36
25,m,13,PhD,7,7,5701.11
26,m,9,PhD,8,8,5697.77
29,m,12,PhD,8,8,5695.58
25,m,11,PhD,9,9,5693.1
26,m,12,PhD,7,10,5685.69
26,m,12,Ma,7,8,5683.72
25,m,10,PhD,7,10,5683.29
27,m,10,PhD,6,8,5679.99
33,m,13,PhD,6,7,5677.99
31,m,9,PhD,7,8,5674.43
34,m,12,PhD,8,8,5670.88
29,m,13,PhD,8,9,5667.55
28,m,9,PhD,8,8,5666.74
28,m,13,PhD,7,6,5664.96
29,m,14,PhD,8,10,5661.55
25,m,9,PhD,8,6,5659.68
28,m,12,PhD,8,10,5658.68
28,m,10,PhD,7,10,5658.02
32,m,13,PhD,8,8,5655.83
27,m,11,PhD,9,8,5654.31
30,m,12,PhD,7,8,5654.03
25,m,11,PhD,9,9,5652.2
27,m,10,PhD,9,8,5650.25
31,m,14,PhD,8,7,5644.96
28,m,13,PhD,7,9,5643.88
29,m,12,PhD,9,8,5643.4
29,m,10,PhD,9,9,5643.15
25,m,7,PhD,8,9,5641.73
28,m,12,Ma,6,7,5640.96
30,m,13,Ma,8,9,5636.63
26,m,12,PhD,7,9,5635.83
29,m,12,PhD,7,9,5634.89
27,m,10,PhD,8,8,5630.53
24,m,11,PhD,8,10,5626.6
27,m,10,PhD,7,8,5625.26
26,m,11,PhD,8,9,5620.16
25,m,13,PhD,8,9,5617.31
29,m,11,PhD,8,9,5610.8
27,m,10,PhD,5,7,5609.11
24,m,11,PhD,8,9,5604.7
28,m,14,PhD,8,8,5603.41
28,m,8,PhD,7,8,5601.97
31,m,14,PhD,6,7,5600.78
24,m,11,PhD,7,7,5597.47
27,m,8,PhD,8,7,5593.77
31,m,12,PhD,8,9,5592.57
29,m,13,PhD,8,10,5592.51
27,m,11,PhD,8,8,5592.44
29,m,13,PhD,6,10,5591.38
26,m,13,PhD,6,8,5590.39
27,m,11,PhD,9,8,5589.23
28,m,8,PhD,8,8,5586.61
32,m,13,PhD,6,8,5584.9
27,m,10,PhD,7,7,5582.87
27,m,11,PhD,7,8,5579.3
25,m,12,PhD,7,8,5579.09
28,m,12,PhD,7,9,5578.94
25,m,12,PhD,7,9,5577.57
30,m,11,PhD,7,8,5577.25
28,m,9,PhD,7,9,5577.09
28,m,11,PhD,7,7,5573.52
25,m,13,PhD,7,8,5571.84
27,m,7,PhD,8,9,5569.27
30,m,10,PhD,7,9,5569.2
29,m,12,PhD,7,10,5569.17
28,m,12,PhD,6,8,5565.13
27,m,11,PhD,8,8,5563.47
28,m,9,PhD,7,9,5561.65
24,m,11,PhD,8,8,5559.2
28,m,12,PhD,8,9,5558.82
32,m,11,PhD,8,7,5558.24
27,m,12,PhD,7,9,5556.54
32,m,9,PhD,8,8,5555.56
28,m,13,PhD,8,8,5555.13
25,m,13,PhD,8,9,5553.99
30,m,12,PhD,8,8,5553.17
28,m,12,PhD,7,8,5552.08
28,m,10,PhD,6,7,5550.07
27,m,12,PhD,7,8,5549.52
26,m,9,PhD,7,8,5548.16
30,m,10,PhD,7,9,5546.74
27,m,10,PhD,7,8,5546.57
27,m,13,PhD,9,8,5546.02
25,m,11,PhD,8,8,5545.88
22,m,11,PhD,9,8,5543.43
25,m,10,PhD,7,8,5542.55
27,m,13,PhD,5,7,5539.24
24,m,9,PhD,8,8,5533.94
23,m,11,PhD,8,8,5531.17
28,m,12,Ma,8,7,5530.01
29,m,15,PhD,9,9,5527.42
24,m,11,PhD,7,10,5523.02
27,m,10,PhD,8,8,5520.8
31,m,12,PhD,7,8,5520.16
28,m,11,PhD,7,9,5517.26
26,m,9,PhD,6,8,5516.22
31,m,11,PhD,8,8,5516.2
27,m,13,Ma,7,8,5511.97
33,m,11,PhD,7,9,5510.32
27,m,11,Ma,8,8,5508.74
25,m,11,PhD,7,9,5507.72
26,m,12,PhD,7,9,5506.84
30,m,10,PhD,8,8,5506.28
26,m,11,PhD,9,10,5504.55
25,m,12,PhD,8,9,5503.21
28,m,12,PhD,7,9,5502.1
29,m,10,PhD,8,7,5501.6
23,m,12,PhD,8,9,5499.52
28,m,13,PhD,8,9,5499.26
25,m,12,PhD,8,9,5499.17
29,m,10,PhD,7,9,5496.72
34,m,10,PhD,8,9,5495.87
27,m,13,PhD,7,7,5495.29
27,m,9,PhD,7,7,5495.12
26,m,9,PhD,9,9,5493.91
27,m,14,PhD,8,8,5492.4
29,m,9,PhD,7,9,5490.22
32,m,12,PhD,7,8,5490.15
25,m,10,PhD,6,8,5489.74
27,m,12,PhD,8,8,5489.52
28,m,10,Ma,8,8,5488.37
29,m,10,PhD,8,7,5487.76
25,m,13,PhD,7,9,5487.53
24,m,12,PhD,9,8,5487.04
29,m,12,PhD,7,8,5486.67
28,m,12,PhD,7,8,5482.22
27,m,13,PhD,7,8,5481.47
27,m,11,PhD,7,9,5481.29
28,m,9,PhD,6,6,5480.85
25,m,11,PhD,8,9,5479.46
21,m,11,PhD,9,8,5477.95
25,m,9,PhD,8,9,5477.55
27,m,10,PhD,7,8,5477.04
27,m,7,PhD,8,9,5475.54
26,m,10,PhD,8,9,5474.71
26,m,10,PhD,8,9,5473.81
28,m,10,PhD,8,10,5473.27
25,m,7,PhD,9,8,5472.67
30,m,12,PhD,7,10,5471.62
28,m,12,PhD,8,10,5468.93
31,m,12,PhD,7,8,5466.93
29,m,11,PhD,6,6,5466.23
33,m,11,PhD,8,9,5462.39
32,m,11,PhD,8,10,5462.2
29,m,10,PhD,8,8,5460.92
30,m,11,PhD,8,9,5460.82
31,m,10,PhD,8,7,5459.45
28,m,13,Ma,7,9,5458.61
26,m,13,Ma,8,10,5456.92
28,m,8,PhD,7,8,5455.87
30,m,10,Ma,8,8,5455.03
26,m,11,Ma,7,8,5454.3
26,m,13,PhD,7,10,5453.33
24,m,13,PhD,7,8,5453.33
30,m,9,PhD,8,9,5452.39
21,m,9,PhD,7,9,5452.04
27,m,11,PhD,8,9,5451.89
29,m,12,PhD,8,9,5449.85
29,m,11,PhD,8,7,5448.89
24,m,12,PhD,6,8,5448.7
25,m,13,PhD,7,10,5446.69
30,m,13,PhD,7,8,5446.31
31,m,13,PhD,7,10,5445.85
29,m,11,PhD,6,6,5444.66
29,m,10,PhD,7,7,5444
32,m,9,PhD,8,9,5443.17
29,m,11,PhD,7,7,5440.61
30,m,12,PhD,6,8,5440.6
29,m,11,PhD,8,7,5440.11
31,m,12,PhD,8,8,5440.08
31,m,10,PhD,8,8,5439.88
29,m,10,PhD,8,8,5438.06
27,m,12,PhD,7,9,5435.56
26,m,11,PhD,8,10,5435.11
22,m,11,PhD,8,9,5434.65
27,m,13,PhD,7,8,5434.61
30,m,11,PhD,6,7,5433.16
24,m,14,PhD,7,9,5432.42
28,m,11,PhD,7,8,5432.36
21,m,12,PhD,7,8,5432.17
29,m,12,PhD,7,9,5427.68
26,m,12,PhD,8,9,5427.48
29,m,12,PhD,7,8,5425.31
23,m,13,PhD,8,9,5425.05
30,m,10,PhD,8,9,5423.77
31,m,10,PhD,7,8,5419.92
30,m,11,PhD,8,10,5418.45
28,m,12,PhD,7,8,5418.25
25,m,11,PhD,7,9,5417.98
28,m,12,PhD,7,9,5416.81
28,m,10,PhD,8,10,5416.75
27,m,9,PhD,7,9,5416.24
25,m,13,PhD,8,8,5416.16
25,m,12,PhD,8,10,5415.9
29,m,11,PhD,8,8,5415.82
25,m,12,PhD,8,8,5415.54
27,m,12,Ma,8,8,5415.47
29,m,13,PhD,7,7,5414.06
28,m,12,PhD,8,8,5413.56
31,m,8,PhD,6,9,5413.25
33,m,13,PhD,8,10,5413.18
32,m,13,Ma,7,8,5412.64
28,m,9,PhD,6,8,5412.07
32,m,11,PhD,9,10,5412.04
30,m,12,Ma,8,9,5410.79
29,m,10,PhD,7,7,5410.3
25,m,9,PhD,8,9,5407.91
28,m,11,PhD,8,8,5405.27
31,m,12,PhD,7,8,5404.81
29,m,11,PhD,6,8,5404.79
28,m,10,PhD,8,10,5403.24
27,m,11,PhD,8,9,5402.97
30,m,12,PhD,8,8,5401.76
26,m,13,PhD,8,9,5401.39
29,m,13,PhD,6,8,5400.21
30,m,13,PhD,6,10,5399.97
30,m,12,Ma,7,8,5396.86
27,m,11,PhD,8,9,5394.87
21,m,11,PhD,8,9,5393.97
29,m,11,PhD,9,9,5393.78
28,m,9,PhD,8,7,5393.61
27,m,12,PhD,6,9,5391.82
30,m,11,PhD,9,8,5390.55
30,m,8,PhD,7,10,5390.34
30,m,11,PhD,8,10,5389.85
24,m,9,PhD,7,7,5389.39
28,m,11,PhD,8,8,5388.53
30,m,14,PhD,8,10,5387.44
26,m,11,PhD,8,9,5386.46
29,m,10,PhD,8,8,5386.21
32,m,8,PhD,6,7,5385.1
27,m,14,PhD,8,7,5384.78
33,m,15,PhD,7,10,5383.42
